file_name,file_urls
"Trostani, Tokencaller",https://deckstats.net/decks/100887/1131596-trostani-tokencaller/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
The Alliance of Teferi and Dovin Baan,https://deckstats.net/decks/20459/2544332-the-alliance-of-teferi-and-dov/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
PDH Infect- Slimefoot,https://deckstats.net/decks/154791/2903179-pdh-infect-slimefoot/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Saheeli, the Gifted - Artifact",https://deckstats.net/decks/62186/1180909-saheeli-the-gifted-artifact/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
[Sacrifice & Tokens] - Gut Ripping Skelletons,https://deckstats.net/decks/23639/1371667--sacrifice-tokens-gut-ripping-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Lord Rakdos,https://deckstats.net/decks/1010/1375739-lord-rakdos/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Copy of: Rakdos Salt Gambit,https://deckstats.net/decks/223264/2903531-copy-of-rakdos-salt-gambit/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Meren Commander,https://deckstats.net/decks/7405/415912-meren-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - Who Made Who X,https://deckstats.net/decks/191814/2893341-commander-who-made-who-x/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"[Block & Fight] - Neyith, Wolf Mother",https://deckstats.net/decks/23639/1679363--block-fight-neyith-wolf-mothe/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Long live the Queen,https://deckstats.net/decks/161480/2903118-long-live-the-queen/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
golgari ELVES,https://deckstats.net/decks/171386/1953385-golgari-elves/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
The Scarab God EDH,https://deckstats.net/decks/38880/560941-the-scarab-god-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Camp Rock 2: The Final Spam,https://deckstats.net/decks/152415/1801856-camp-rock-2-the-final-spam/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Atraxa, Praetors' Voice",https://deckstats.net/decks/152372/1586636-atraxa-praetors-voice/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Krenko, Mob Boss",https://deckstats.net/decks/20685/1235095-krenko-mob-boss/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Jhoira of the Ghitu EDH,https://deckstats.net/decks/38880/752203-jhoira-of-the-ghitu-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Nethroi, Apex of Death - Abzan Mutate Re-animator",https://deckstats.net/decks/109467/1644039-nethroi-apex-of-death-abzan-mu/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Chatterfang, Squirrel General - Golgari Tokens",https://deckstats.net/decks/109467/2117271-chatterfang-squirrel-general-g/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Tuvasa the Sunlit - Bant  Enchantments,https://deckstats.net/decks/109467/1103273-tuvasa-the-sunlit-bant-enchant/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Pir & Toothy - Simic Counters,https://deckstats.net/decks/109467/2039236-pir-toothy-simic-counters/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Raggadragga, Goreguts Boss - A Gathering of Mana Dorks",https://deckstats.net/decks/109467/2581244-raggadragga-goreguts-boss-a-ga/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Lords of the Deep [Next Level Merfolk ~ Commander] Elder Merfolk Highlander,https://deckstats.net/decks/97708/853448-lords-of-the-deep-next-level-m/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Memnarch,https://deckstats.net/decks/86439/2489686-memnarch/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Dynaheir  Zirda, All the Abilities",https://deckstats.net/decks/14296/2598079-dynaheir-zirda-all-the-abiliti/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
[EDH] Unctus the Grand Metatect,https://deckstats.net/decks/187104/2889249--edh-unctus-the-grand-metatect/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Yuriko, Bringer of Shadows",https://deckstats.net/decks/86785/1066241-yuriko-bringer-of-shadows/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Copy of: Commander - Kambal, Lifegain",https://deckstats.net/decks/139786/2901727-copy-of-commander-kambal-lifeg/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Sacrifice for Love (KravRegna - Commander),https://deckstats.net/decks/101422/1161739-sacrifice-for-love-krav-regna-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Of Hereos and Monsters (Commander),https://deckstats.net/decks/101422/920750-of-hereos-and-monsters-command/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Blueberry Pancakes,https://deckstats.net/decks/101422/979974-blueberry-pancakes/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Healing Flames (FiresongSunspeaker-Commander),https://deckstats.net/decks/101422/1162074-healing-flames-firesong-sunspe/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Kathril, Keyword Warper",https://deckstats.net/decks/105123/1649911-kathril-keyword-warper/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Saheeli's Free Stuff,https://deckstats.net/decks/109648/1645462-saheeli-s-free-stuff/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Talrand, Sky Summoner",https://deckstats.net/decks/136627/1511705-talrand-sky-summoner/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Aryel knights,https://deckstats.net/decks/103128/1039419-aryel-knights/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
CEDH Sliver,https://deckstats.net/decks/211402/2901169-cedh-sliver/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
